filename,label,percent through interval,F2
f03_mono_F03_ahdan-1_1,a-d,0,2043.68895933052
f03_mono_F03_ahdan-1_1,a-d,50,2036.04584381215
f03_mono_F03_ahdan-1_1,a-d,100,1932.08426484539
f03_mono_F03_ahdan-2_1,a-d,0,1813.07032278464
f03_mono_F03_ahdan-2_1,a-d,50,1688.58673689823
f03_mono_F03_ahdan-2_1,a-d,100,1890.01867192294
f03_mono_F03_ahdan-3_1,a-d,0,1981.08075552762
f03_mono_F03_ahdan-3_1,a-d,50,2045.8641068126
f03_mono_F03_ahdan-3_1,a-d,100,2052.15724898019
f03_mono_F03_ahpa-2_1,a-p,0,1737.10995781422
f03_mono_F03_ahpa-2_1,a-p,50,1814.69743544628
f03_mono_F03_ahpa-2_1,a-p,100,1725.1834008905
f03_mono_F03_ahpa-2_2,a-p,0,1777.4305382241
f03_mono_F03_ahpa-2_2,a-p,50,1540.92697174554
f03_mono_F03_ahpa-2_2,a-p,100,1707.15655793075
f03_mono_F03_ahpwa-1_1,a-pw,0,925.582538729985
f03_mono_F03_ahpwa-1_1,a-pw,50,1652.17053015513
f03_mono_F03_ahpwa-1_1,a-pw,100,1826.42941663069
f03_mono_F03_apa-1_1,a-p,0,1862.62220400361
f03_mono_F03_apa-1_1,a-p,50,1781.8942365867
f03_mono_F03_apa-1_1,a-p,100,1768.93913602648
f03_mono_F03_apa-2_1,a-p,0,1832.44571707242
f03_mono_F03_apa-2_1,a-p,50,1679.44788500787
f03_mono_F03_apa-2_1,a-p,100,1774.83475195917
f03_mono_F03_apa-3_1,a-p,0,1737.80746171621
f03_mono_F03_apa-3_1,a-p,50,1731.22446544024
f03_mono_F03_apa-3_1,a-p,100,1758.44241691807
f03_mono_F03_apwal-1_1,a-pw,0,859.77187351592
f03_mono_F03_apwal-1_1,a-pw,50,1728.11702280511
f03_mono_F03_apwal-1_1,a-pw,100,2114.9216574906
f03_mono_F03_apwal-1_2,a-pw,0,845.286977664793
f03_mono_F03_apwal-1_2,a-pw,50,1705.25197770017
f03_mono_F03_apwal-1_2,a-pw,100,2186.21225962491
f03_mono_F03_apwal-2_1,a-pw,0,819.890300434727
f03_mono_F03_apwal-2_1,a-pw,50,1471.5780859107
f03_mono_F03_apwal-2_1,a-pw,100,2072.66236889434
f03_mono_F03_apwal-3_1,a-pw,0,982.659821085269
f03_mono_F03_apwal-3_1,a-pw,50,1582.13722186148
f03_mono_F03_apwal-3_1,a-pw,100,1903.42664235997
f03_mono_F03_apwal-3_2,a-pw,0,936.720714587287
f03_mono_F03_apwal-3_2,a-pw,50,1654.98953745943
f03_mono_F03_apwal-3_2,a-pw,100,1971.23349081012
f03_mono_F03_ata-1_1,a-t,0,2291.45893437692
f03_mono_F03_ata-1_1,a-t,50,1769.17727385068
f03_mono_F03_ata-1_1,a-t,100,1725.26074006617
f03_mono_F03_ata-2_1,a-t,0,2182.70849345382
f03_mono_F03_ata-2_1,a-t,50,1720.53034332608
f03_mono_F03_ata-2_1,a-t,100,1728.28487924864
f03_mono_F03_ata-3_1,a-t,0,2335.28232204231
f03_mono_F03_ata-3_1,a-t,50,1780.91102248324
f03_mono_F03_ata-3_1,a-t,100,1766.55666539899
f03_mono_F03_idi-1_1,i-d,0,2451.35733587277
f03_mono_F03_idi-1_1,i-d,50,2844.99457257061
f03_mono_F03_idi-1_1,i-d,100,2887.50842149709
f03_mono_F03_idi-2_1,i-d,0,2578.34630380382
f03_mono_F03_idi-2_1,i-d,50,2838.60790708267
f03_mono_F03_idi-2_1,i-d,100,2852.60615427641
f03_mono_F03_idi-3_1,i-d,0,2526.54122547782
f03_mono_F03_idi-3_1,i-d,50,2928.43730417367
f03_mono_F03_idi-3_1,i-d,100,2812.16045329587
f03_mono_F03_ihpi-1_1,i-p,0,2255.98259536039
f03_mono_F03_ihpi-1_1,i-p,50,2393.62637729895
f03_mono_F03_ihpi-1_1,i-p,100,2543.8928449471
f03_mono_F03_ihpwi-3_1,i-pw,0,1440.11046210276
f03_mono_F03_ihpwi-3_1,i-pw,50,2832.39175707836
f03_mono_F03_ihpwi-3_1,i-pw,100,2859.2671752359
f03_mono_F03_ihpwi-3_2,i-pw,0,916.553544001662
f03_mono_F03_ihpwi-3_2,i-pw,50,2793.39912824968
f03_mono_F03_ihpwi-3_2,i-pw,100,1676.58133247487
f03_mono_F03_ipwidi-1_1,i-pw,0,1068.95210030795
f03_mono_F03_ipwidi-1_1,i-pw,50,1759.0706393827
f03_mono_F03_ipwidi-1_1,i-pw,100,1911.56380200194
f03_mono_F03_ipwidi-2_1,i-pw,0,1079.8969932685
f03_mono_F03_ipwidi-2_1,i-pw,50,1605.38677764461
f03_mono_F03_ipwidi-2_1,i-pw,100,2210.77421918513
f03_mono_F03_ipwidi-2_2,i-pw,0,1056.85020928303
f03_mono_F03_ipwidi-2_2,i-pw,50,1694.46718494787
f03_mono_F03_ipwidi-2_2,i-pw,100,1917.24361726284
f03_mono_F03_ipwidi-3_1,i-pw,0,1161.73912821443
f03_mono_F03_ipwidi-3_1,i-pw,50,1492.00250394347
f03_mono_F03_ipwidi-3_1,i-pw,100,2035.22619962149
f03_mono_F03_pahpa-1_1,a-p,0,1816.39506491614
f03_mono_F03_pahpa-1_1,a-p,50,1787.85808193458
f03_mono_F03_pahpa-1_1,a-p,100,1610.25424341166
f03_mono_F03_pahpa-2_1,a-p,0,1719.25177699772
f03_mono_F03_pahpa-2_1,a-p,50,1444.16344135401
f03_mono_F03_pahpa-2_1,a-p,100,1714.37628248646
f03_mono_F03_pahpa-3_1,a-p,0,1690.92908068421
f03_mono_F03_pahpa-3_1,a-p,50,1687.55446957214
f03_mono_F03_pahpa-3_1,a-p,100,1759.52861521905
f02_mono_F02_ahdan-1_1,a-d,0,1916.50396288197
f02_mono_F02_ahdan-1_1,a-d,50,1931.35174891849
f02_mono_F02_ahdan-1_1,a-d,100,2035.87259407263
f02_mono_F02_ahdan-2_1,a-d,0,1765.33618386736
f02_mono_F02_ahdan-2_1,a-d,50,1862.84376370095
f02_mono_F02_ahdan-2_1,a-d,100,1961.65263667097
f02_mono_F02_ahdan-3_1,a-d,0,1969.48014733885
f02_mono_F02_ahdan-3_1,a-d,50,2005.07673430614
f02_mono_F02_ahdan-3_1,a-d,100,2010.23945739142
f02_mono_F02_ahpa-2_1,a-p,0,1523.48427101503
f02_mono_F02_ahpa-2_1,a-p,50,1631.50783460573
f02_mono_F02_ahpa-2_1,a-p,100,1618.52141975001
f02_mono_F02_ahpa-2_2,a-p,0,1463.23104814504
f02_mono_F02_ahpa-2_2,a-p,50,1537.58906444748
f02_mono_F02_ahpa-2_2,a-p,100,1527.06624047295
f02_mono_F02_ahpwa-1_1,a-pw,0,949.860908477457
f02_mono_F02_ahpwa-1_1,a-pw,50,1531.79809757563
f02_mono_F02_ahpwa-1_1,a-pw,100,1786.91883621084
f02_mono_F02_apa-1_1,a-p,0,1634.39237178705
f02_mono_F02_apa-1_1,a-p,50,1741.50817279582
f02_mono_F02_apa-1_1,a-p,100,1916.46934764365
f02_mono_F02_apa-2_1,a-p,0,1511.29190276349
f02_mono_F02_apa-2_1,a-p,50,1564.96963831698
f02_mono_F02_apa-2_1,a-p,100,1663.52652557727
f02_mono_F02_apa-3_1,a-p,0,1561.67985508638
f02_mono_F02_apa-3_1,a-p,50,1691.57093123874
f02_mono_F02_apa-3_1,a-p,100,1898.91782499179
f02_mono_F02_apwal-1_1,a-pw,0,967.607153978776
f02_mono_F02_apwal-1_1,a-pw,50,1761.85698086254
f02_mono_F02_apwal-1_1,a-pw,100,1851.72545821839
f02_mono_F02_apwal-1_2,a-pw,0,943.607902114933
f02_mono_F02_apwal-1_2,a-pw,50,1761.46192116771
f02_mono_F02_apwal-1_2,a-pw,100,2143.53297983976
f02_mono_F02_apwal-2_1,a-pw,0,916.978306646979
f02_mono_F02_apwal-2_1,a-pw,50,1740.16276278112
f02_mono_F02_apwal-2_1,a-pw,100,2081.39652490074
f02_mono_F02_apwal-3_1,a-pw,0,905.123715635588
f02_mono_F02_apwal-3_1,a-pw,50,1679.99615845631
f02_mono_F02_apwal-3_1,a-pw,100,1554.87476218709
f02_mono_F02_apwal-3_2,a-pw,0,908.311242148518
f02_mono_F02_apwal-3_2,a-pw,50,1646.81826198961
f02_mono_F02_apwal-3_2,a-pw,100,1830.87152166344
f02_mono_F02_ata-1_1,a-t,0,2077.3570575506
f02_mono_F02_ata-1_1,a-t,50,1863.6051954993
f02_mono_F02_ata-1_1,a-t,100,1836.47602758822
f02_mono_F02_ata-2_1,a-t,0,1941.92460340112
f02_mono_F02_ata-2_1,a-t,50,1798.57543277497
f02_mono_F02_ata-2_1,a-t,100,1461.65279606502
f02_mono_F02_idi-1_1,i-d,0,2382.10541144958
f02_mono_F02_idi-1_1,i-d,50,2939.88141455153
f02_mono_F02_idi-1_1,i-d,100,2963.75319869782
f02_mono_F02_idi-2_1,i-d,0,2516.32079040334
f02_mono_F02_idi-2_1,i-d,50,2690.2140339805
f02_mono_F02_idi-2_1,i-d,100,2201.02247943889
f02_mono_F02_idi-3_1,i-d,0,2600.66001475194
f02_mono_F02_idi-3_1,i-d,50,2789.11178764855
f02_mono_F02_idi-3_1,i-d,100,2661.21858709094
f02_mono_F02_ihpi-1_1,i-p,0,2313.30014290768
f02_mono_F02_ihpi-1_1,i-p,50,2648.23024615781
f02_mono_F02_ihpi-1_1,i-p,100,2517.56203695318
f02_mono_F02_ihpwi-3_1,i-pw,0,1209.8743295144
f02_mono_F02_ihpwi-3_1,i-pw,50,2569.4397743648
f02_mono_F02_ihpwi-3_1,i-pw,100,2744.04419936787
f02_mono_F02_ihpwi-3_2,i-pw,0,1072.51471722326
f02_mono_F02_ihpwi-3_2,i-pw,50,2664.50447462836
f02_mono_F02_ihpwi-3_2,i-pw,100,2813.82489248843
f02_mono_F02_ipwidi-1_1,i-pw,0,1698.15332267024
f02_mono_F02_ipwidi-1_1,i-pw,50,1793.07617251151
f02_mono_F02_ipwidi-1_1,i-pw,100,2430.26178111735
f02_mono_F02_ipwidi-1_2,i-pw,0,959.420354022894
f02_mono_F02_ipwidi-1_2,i-pw,50,1624.26278259832
f02_mono_F02_ipwidi-1_2,i-pw,100,2623.27012505775
f02_mono_F02_ipwidi-2_1,i-pw,0,2017.83608206425
f02_mono_F02_ipwidi-2_1,i-pw,50,1677.75157839784
f02_mono_F02_ipwidi-2_1,i-pw,100,2591.36797950733
f02_mono_F02_ipwidi-3_1,i-pw,0,1125.53292466094
f02_mono_F02_ipwidi-3_1,i-pw,50,2475.63551345987
f02_mono_F02_ipwidi-3_1,i-pw,100,2364.1627356662
f02_mono_F02_itik-1_1,i-t,0,2384.0774614575
f02_mono_F02_itik-1_1,i-t,50,2351.34960258921
f02_mono_F02_itik-1_1,i-t,100,2429.09211175838
f02_mono_F02_itik-2_1,i-t,0,2381.13386557585
f02_mono_F02_itik-2_1,i-t,50,2404.81968042353
f02_mono_F02_itik-2_1,i-t,100,2494.90266850196
f02_mono_F02_itik-3_1,i-t,0,2317.27809694715
f02_mono_F02_itik-3_1,i-t,50,2332.17618345418
f02_mono_F02_itik-3_1,i-t,100,2010.59734877714
f02_mono_F02_koahpi-1_1,i-p,0,2205.04566618127
f02_mono_F02_koahpi-1_1,i-p,50,2557.56924270918
f02_mono_F02_koahpi-1_1,i-p,100,2554.99926088676
f02_mono_F02_koahpi-2_1,i-p,0,2470.47726882861
f02_mono_F02_koahpi-2_1,i-p,50,2848.74077100491
f02_mono_F02_koahpi-2_1,i-p,100,1844.41474789263
f02_mono_F02_koahpi-3_1,i-p,0,2130.54661121989
f02_mono_F02_koahpi-3_1,i-p,50,2542.52704508027
f02_mono_F02_koahpi-3_1,i-p,100,2642.85041399733
f02_mono_F02_pahpa-1_1,a-p,0,1536.01507364909
f02_mono_F02_pahpa-1_1,a-p,50,1708.78982680312
f02_mono_F02_pahpa-1_1,a-p,100,1778.17286600837
f02_mono_F02_pahpa-2_1,a-p,0,1546.91552351604
f02_mono_F02_pahpa-2_1,a-p,50,1621.48149251246
f02_mono_F02_pahpa-2_1,a-p,100,1871.43402585694
f02_mono_F02_pahpa-3_1,a-p,0,1572.29053015301
f02_mono_F02_pahpa-3_1,a-p,50,1683.05908630664
f02_mono_F02_pahpa-3_1,a-p,100,1744.10726759368
f03_mono_F03_itik-1_1,i-t,0,2422.47588567482
f03_mono_F03_itik-1_1,i-t,50,2318.06765042295
f03_mono_F03_itik-1_1,i-t,100,1639.51696197896
f03_mono_F03_itik-2_1,i-t,0,2356.47060078095
f03_mono_F03_itik-2_1,i-t,50,1990.49472694883
f03_mono_F03_itik-2_1,i-t,100,1740.77499702599
f03_mono_F03_itik-3_1,i-t,0,2496.89187704137
f03_mono_F03_itik-3_1,i-t,50,2251.83915338782
f03_mono_F03_itik-3_1,i-t,100,1753.87119726236
f03_mono_F03_koahpi-1_1,i-p,0,2518.70911715005
f03_mono_F03_koahpi-1_1,i-p,50,2977.91056739155
f03_mono_F03_koahpi-1_1,i-p,100,2876.93461171093
f03_mono_F03_koahpi-2_1,i-p,0,2720.21410492811
f03_mono_F03_koahpi-2_1,i-p,50,3000.85870294892
f03_mono_F03_koahpi-2_1,i-p,100,2901.56495340676
f03_mono_F03_koahpi-3_1,i-p,0,2660.0418174724
f03_mono_F03_koahpi-3_1,i-p,50,2901.68185201468
f03_mono_F03_koahpi-3_1,i-p,100,2983.82346026421
f02_mono_F02_ata-3_1,a-t,0,1921.08858262994
f02_mono_F02_ata-3_1,a-t,50,1822.59765200963
f02_mono_F02_ata-3_1,a-t,100,1972.13498306569
m03_mono_M03_ahdan-1_1,a-d,0,1625.20859976596
m03_mono_M03_ahdan-1_1,a-d,50,1697.04740022232
m03_mono_M03_ahdan-1_1,a-d,100,1728.87706288654
m03_mono_M03_ahdan-2_1,a-d,0,1626.81875134556
m03_mono_M03_ahdan-2_1,a-d,50,1680.77660297889
m03_mono_M03_ahdan-2_1,a-d,100,1684.54791355066
m03_mono_M03_ahdan-3_1,a-d,0,1599.56322552136
m03_mono_M03_ahdan-3_1,a-d,50,1683.49378553244
m03_mono_M03_ahdan-3_1,a-d,100,1600.84174210681
m03_mono_M03_ahpa-2_1,a-p,0,1305.60142906859
m03_mono_M03_ahpa-2_1,a-p,50,1429.6883568044
m03_mono_M03_ahpa-2_1,a-p,100,1477.33324834285
m03_mono_M03_ahpa-2_2,a-p,0,1311.78266842571
m03_mono_M03_ahpa-2_2,a-p,50,1353.55496949897
m03_mono_M03_ahpa-2_2,a-p,100,1375.99360390187
m03_mono_M03_ahpwa-1_1,a-pw,0,922.542374056834
m03_mono_M03_ahpwa-1_1,a-pw,50,1038.9474647767
m03_mono_M03_ahpwa-1_1,a-pw,100,1091.21217894723
m03_mono_M03_apa-1_1,a-p,0,1261.08643192344
m03_mono_M03_apa-1_1,a-p,50,1393.16552714444
m03_mono_M03_apa-1_1,a-p,100,1436.90182959511
m03_mono_M03_apa-2_1,a-p,0,1328.81470769267
m03_mono_M03_apa-2_1,a-p,50,1438.2845157523
m03_mono_M03_apa-2_1,a-p,100,1475.48524118673
m03_mono_M03_apa-3_1,a-p,0,1377.22748240242
m03_mono_M03_apa-3_1,a-p,50,1496.81575837655
m03_mono_M03_apa-3_1,a-p,100,1682.87658002846
m03_mono_M03_apwal-1_1,a-pw,0,943.842815265491
m03_mono_M03_apwal-1_1,a-pw,50,1280.2321722078
m03_mono_M03_apwal-1_1,a-pw,100,1660.42510461558
m03_mono_M03_apwal-1_2,a-pw,0,947.046538417109
m03_mono_M03_apwal-1_2,a-pw,50,1328.36372153689
m03_mono_M03_apwal-1_2,a-pw,100,1540.89843607228
m03_mono_M03_apwal-2_1,a-pw,0,921.544949203783
m03_mono_M03_apwal-2_1,a-pw,50,1320.54737087181
m03_mono_M03_apwal-2_1,a-pw,100,1682.56536254882
m03_mono_M03_apwal-3_1,a-pw,0,918.96104855124
m03_mono_M03_apwal-3_1,a-pw,50,1370.65477160026
m03_mono_M03_apwal-3_1,a-pw,100,1673.65507287245
m03_mono_M03_apwal-3_2,a-pw,0,986.40043674682
m03_mono_M03_apwal-3_2,a-pw,50,1333.49264908534
m03_mono_M03_apwal-3_2,a-pw,100,1584.14071663972
m03_mono_M03_ata-1_1,a-t,0,1719.50671353468
m03_mono_M03_ata-1_1,a-t,50,1624.99668166596
m03_mono_M03_ata-1_1,a-t,100,1504.93664717407
m03_mono_M03_ata-2_1,a-t,0,1736.39621844669
m03_mono_M03_ata-2_1,a-t,50,1540.20404826558
m03_mono_M03_ata-2_1,a-t,100,1445.83961888663
